,gloss,x
בן.n1,son,221.89
בת.n1,daughter,49.19
אח.n1,brother,13.49
פר.n1,young bull,10.37
כהן.n1,priest,10.07
אשׁה.n1,woman,8.29
מלך.n1,king,5.48
שׁבט.n1,rod,4.12
בכר.n1,first-born,3.53
אישׁ.n1,man,3.41
נשׂיא.n1,chief,3.37
אב.n1,father,3.19
עם.n1,people,3.01
עבד.n1,servant,2.67
בגד.n1,garment,2.44
עדה.n1,gathering,1.79
אדון.n1,lord,1.73
גר.n1,sojourner,1.33
אם.n1,mother,1.2
פרעה.n1,pharaoh,1.09
נביא.n1,prophet,0.96
שׂר.n1,chief,0.89
זרע.n1,seed,0.79
בקר.n1,cattle,0.75
משׁפחה.n1,clan,0.6
נער.n1,boy,0.34
ילד.n1,boy,0.31
צאן.n1,cattle,0.24
רע.n2,fellow,0.23
כבשׂ.n1,young ram,0.15
גבור.n1,vigorous,0.11
אחות.n1,sister,0.07
אשׁ.n1,fire,0.02
